id,kon1,kon2,kon3,kon4,kon5,kon6,kon7,kon8,kon9,kon10,kon11,kon12,kon13,kon14,kon15,kon16,kon17,nas1,nas2,nas3,nas4,nas5,nas6,nas7,nas8,nas9,nas10,nas11,nas12,nas13,nas14,nas15,nas16,nas17,rwa1,rwa2,rwa3,rwa4,rwa5,rwa6,rwa7,rwa8,rwa9,rwa10,rwa11,rwa12,rwa13,rwa14,rwa15,sdo1,sdo2,sdo3,sdo4,sdo5,sdo6,sdo7,sdo8,sdo9,sdo10,sdo11,sdo12,sdo13,sdo14,sdo15,sdo16,rz1,rz2,rz3,rz4,rz5,rz6,rz7,rz8,rz9,rz10,rz11,rz12,rz13,rz14,rz15,rz16,tjokowi,tprabowo,preferensi,gender
746,4,4,1,1,4,5,4,1,3,1,1,1,2,1,4,5,2,5,4,6,6,4,3,3,7,4,7,7,6,7,5,7,3,7,7,3,2,1,1,5,5,1,6,2,7,3,9,8,9,7,2,4,5,4,1,2,1,5,7,5,1,3,2,1,2,2,2,3,5,3,1,1,3,1,3,1,5,3,1,3,3,41,44,3,2
749,4,5,3,7,7,5,1,6,5,1,7,1,3,1,1,7,1,5,5,2,1,1,1,1,1,1,1,1,1,5,1,1,3,1,4,2,9,1,8,1,9,6,7,1,9,4,8,1,3,6,3,7,7,4,2,1,1,7,7,7,7,1,1,1,1,5,1,3,4,3,3,4,3,4,5,3,1,5,3,3,4,50,50,11,2
752,1,2,3,3,2,6,5,1,1,1,7,7,4,7,1,1,1,1,2,3,4,6,5,4,7,7,7,1,1,1,4,1,6,7,8,6,8,2,8,2,8,2,8,7,8,8,8,7,9,6,2,3,3,3,1,1,1,5,5,6,5,1,6,2,2,5,4,5,4,4,1,5,5,5,2,1,4,5,5,5,5,21,96,1,1
757,2,5,3,6,6,7,6,5,6,6,2,6,6,5,7,7,6,2,6,3,5,3,2,2,6,1,6,6,2,2,2,2,3,3,9,6,8,2,8,7,9,3,9,6,9,7,8,4,9,7,1,1,2,1,2,1,1,6,6,2,4,1,3,4,3,5,5,5,1,5,3,4,2,4,4,5,1,3,5,4,3,19,92,10,2
758,7,5,4,5,7,7,6,7,7,7,7,7,7,7,7,7,7,3,3,3,3,1,3,3,1,1,1,1,2,1,1,1,1,1,9,4,8,2,8,6,2,2,8,8,9,3,9,6,9,5,5,5,5,2,3,3,5,3,6,6,3,2,3,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,101,5,11,1
762,2,4,4,2,7,7,4,2,5,1,6,2,2,1,1,6,6,6,4,4,7,2,5,4,7,3,7,4,2,7,7,7,7,7,9,1,9,1,9,5,5,1,9,9,9,1,9,5,9,7,3,1,1,1,1,1,3,3,7,6,4,1,1,1,1,5,4,5,5,3,1,5,3,3,1,5,2,5,5,5,4,71,101,1,2
764,1,1,6,4,2,1,2,6,1,1,1,1,1,1,3,6,1,7,3,3,6,7,7,7,2,7,7,7,7,7,7,7,3,3,9,1,1,1,1,1,1,1,9,1,9,1,1,1,9,2,7,6,6,1,4,1,2,4,4,7,6,1,4,1,4,1,1,1,1,5,5,1,1,1,1,1,1,1,1,1,1,1,61,1,1
773,5,6,7,7,5,7,6,7,7,7,7,5,7,7,7,7,7,1,5,1,1,3,2,6,6,1,7,1,1,7,1,2,7,7,9,2,9,1,9,1,9,1,8,9,9,4,9,9,9,7,6,5,5,3,5,5,3,5,5,6,5,3,6,4,3,5,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5,101,27,11,2
784,1,1,1,1,7,1,4,1,6,1,4,1,1,1,1,1,1,7,7,4,7,4,7,5,7,2,7,2,7,7,7,7,7,7,9,6,8,1,8,1,3,1,9,3,9,1,9,1,9,7,1,1,4,1,1,1,1,5,7,6,1,1,1,1,1,5,5,5,5,5,1,5,1,2,1,5,5,5,5,5,3,33,101,1,2
791,4,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,2,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,9,3,9,4,9,4,8,9,9,9,9,9,9,1,9,7,1,1,4,7,7,7,7,4,7,7,4,1,4,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,101,12,11,2
